pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams,pizza_size
bbq_ckn_l,The Barbecue Chicken Pizza,Barbecued Chicken,40.0,L
bbq_ckn_l,The Barbecue Chicken Pizza,Red Peppers,15.0,L
bbq_ckn_l,The Barbecue Chicken Pizza,Green Peppers,20.0,L
bbq_ckn_l,The Barbecue Chicken Pizza,Tomatoes,30.0,L
bbq_ckn_l,The Barbecue Chicken Pizza,Red Onions,60.0,L
bbq_ckn_l,The Barbecue Chicken Pizza,Barbecue Sauce,15.0,L
bbq_ckn_m,The Barbecue Chicken Pizza,Barbecued Chicken,30.0,M
bbq_ckn_m,The Barbecue Chicken Pizza,Red Peppers,10.0,M
bbq_ckn_m,The Barbecue Chicken Pizza,Green Peppers,15.0,M
bbq_ckn_m,The Barbecue Chicken Pizza,Tomatoes,20.0,M
bbq_ckn_m,The Barbecue Chicken Pizza,Red Onions,40.0,M
bbq_ckn_m,The Barbecue Chicken Pizza,Barbecue Sauce,10.0,M
bbq_ckn_s,The Barbecue Chicken Pizza,Barbecued Chicken,20.0,S
bbq_ckn_s,The Barbecue Chicken Pizza,Red Peppers,5.0,S
bbq_ckn_s,The Barbecue Chicken Pizza,Green Peppers,20.0,S
bbq_ckn_s,The Barbecue Chicken Pizza,Tomatoes,10.0,S
bbq_ckn_s,The Barbecue Chicken Pizza,Red Onions,20.0,S
bbq_ckn_s,The Barbecue Chicken Pizza,Barbecue Sauce,5.0,S
big_meat_s,The Big Meat Pizza,Bacon,150.0,S
big_meat_s,The Big Meat Pizza,Pepperoni,50.0,S
big_meat_s,The Big Meat Pizza,Italian Sausage,10.0,S
big_meat_s,The Big Meat Pizza,Chorizo Sausage,50.0,S
brie_carre_s,The Brie Carre Pizza,Brie Carre Cheese,30.0,S
brie_carre_s,The Brie Carre Pizza,Prosciutto,30.0,S
brie_carre_s,The Brie Carre Pizza,Caramelized Onions,15.0,S
brie_carre_s,The Brie Carre Pizza,Pears,10.0,S
brie_carre_s,The Brie Carre Pizza,Thyme,5.0,S
brie_carre_s,The Brie Carre Pizza,Garlic,5.0,S
calabrese_l,The Calabrese Pizza,?duja Salami,60.0,L
calabrese_l,The Calabrese Pizza,Pancetta,90.0,L
calabrese_l,The Calabrese Pizza,Tomatoes,30.0,L
calabrese_l,The Calabrese Pizza,Red Onions,60.0,L
calabrese_l,The Calabrese Pizza,Friggitello Peppers,15.0,L
calabrese_l,The Calabrese Pizza,Garlic,15.0,L
calabrese_m,The Calabrese Pizza,?duja Salami,40.0,M
